,Consumer_Comments
717,"spoke with customer, order scheduled for thursday and not coming today, asking for next tuesday, waiting on management Good afternoon, Thank you for contacting customer support. We have rescheduled your order for Tuesday, October 7th at 10am."
718,"Good afternoon and thank you for contacting customer support. I have reached out to my manager about your inquiry. I will follow up with you as soon as she provides me with an update CiArra Good afternoon, Thank you for reaching out! At this time partners are not able to change dates on orders after they are created. I have gone ahead and edited your orders and combined them toegther onto SO193072. Thank you, ""D"""
719,"Good afternoon, Thank you for contacting customer support. We have made these changes to your order. Good afternoon, Thank you for contacting customer support. We have updated your order."
720,"Good afternoon, Thank you for contacting Customer Relations! Is there a specific day you would like to reschedule your order to instead of January 6th? Thank you! ""D"" January 20th weather permitting hours for to On Jan 2, 2025, at PM, DH wrote: - - - Reply above this line. DH commented: Good afternoon, Thank you for contacting Customer Relations! Is there a specific day you would like to reschedule your order to instead of January 6th? Thank you! ""D"" [View request| [Turn off this request's notifications| This is shared with [ Sent on January 2, 2025 :56 PM EST ! Good afternoon, I have changed your order to January 20th from 8 am to 10 am. Thank you for planning and letting us know of this change! Stay safe and warm! ""D"" Good morning, I apologize for the inconvenience. When we rescheduled your order, I didn t realize that CAFB will be closed on Monday due to the holiday and the inauguration. Could you please provide me with other dates when you can receive your order? We have available slots on Thursday and Friday next week from 12 PM to 2 PM. Thank you for your understanding. Best, ""D"" DH Manager of Customer Relations & Distribution Network Evolution Capital Area Food Bank P. 571.390.9875 | F. 703.541.0179 4900 Puerto Rico Ave, NE Washington DC 20017 <[ <[ <[ <[ Please email all customer service questions or concerns to [ so that one of my colleagues or I can assist you promptly. Thank you!"
721,"Good morning and thank you for contacting customer support. I have attached a copy of what we currently see for your order. I do not see that you have ever added TEFAP products to this order. Please make sure that you are saving your order after you make any edits. If you would like for us to add items to your order you may send us the item codes and quantities that you would like for us to add. You do have until the end of the day tomorrow to make any edits to this order CiArra Ciara, I had saved one pallet of almond milk 100794. It has disappeared from my order. Please add it back. DH can attest that I added this item and saved it to my order last week. This is frustrating how my saved items are no longer on my portal. Please let me know about the almond milk. Thank you. Hazel Hiza On Dec 17, 2024, at AM, CR wrote: - - - Reply above this line. CR resolved this as Done. How was our service for this request? |[ | Very poor |[ | |[ | |[ | |[ | good | [View request| [Turn off this request's notifications| This is shared with [ Sent on December 17, 2024 :13 AM EST ! CiArra Good afternoon, Hazel, As I mentioned during our conversation earlier today, we are taking a closer look at this issue with the assistance of Chris's team and the IT team. For now, I will be closing this ticket since we still have another open ticket for you. We are working on determining if there is any chicken that we can add back to your order and investigating what may have occurred here so we can prevent it in the future. Best, ""D"" you. On Dec 18, 2024, at PM, DH wrote: - - - Reply above this line. DH commented: Good afternoon, Hazel, As I mentioned during our conversation earlier today, we are taking a closer look at this issue with the assistance of Chris's team and the IT team. For now, I will be closing this ticket since we still have another open ticket for you. We are working on determining if there is any chicken that we can add back to your order and investigating what may have occurred here so we can prevent it in the future. Best, ""D"" [View request| [Turn off this request's notifications| This is shared with [ Sent on December 18, 2024 :57 PM EST !"
722,"Good afternoon, Hazel. Lucy noticed that your oil level had decreased, so she increased it back to 45. This change was an increase, not a decrease."
723,"Good morning, Thank you for contacting Customer Support. Please confirm the item numbers and quantity of each item that you would like added to your order and we are happy to make those changes for you. had chicken added to our cart and suddenly they were removed from our orders. Chicken Drumsticks: 520387 we had 29 cases. We are requesting 100. We are requesting eggs 362014, 100 cases for order SO192867.Thanks. On Feb 5, 2025, at AM, CH wrote: - - - Reply above this line. CH commented: Good morning, Thank you for contacting Customer Support. Please confirm the item numbers and quantity of each item that you would like added to your order and we are happy to make those changes for you. [View request| [Turn off this request's notifications| This is shared with and Lucy Paredes. [ Sent on February 5, 2025 :43 AM EST ! Good afternoon, I have updated your order with the following items: 520387 MD TEFAP CCC CHICKEN DRUMSTICKS FROZEN PKG-8/5 LB We do not have 100 available. I have added 50 to your order. 362014 Eggs, 30 dozen We only have 3 available. I added 3 to your order. Hope this helps, , We had 115 cases of chicken leg quarters in our portal since last week. But now it has suddenly disappeared. Item 300595 leg quarters. Please add back out original 115 cases. Please explain why saved items are removed from our order. Thanks. Hazel On Feb 5, 2025, at PM, CH wrote: - - - Reply above this line. CH resolved this as Done. How was our service for this request? |[ | Very poor |[ | |[ | |[ | |[ | good | [View request| [Turn off this request's notifications| This is shared with and Lucy Paredes. [ Sent on February 5, 2025 :34 PM EST ! I unfortunately cannot provide insight as to exactly what happened when you were ordering. It is also important to remember that items in your cart do not hold and all carts will reset at midnight everyday if you do not check out. There is a chance that is what happened with item 300595. At this moment we do not have any more of this item in our inventory and I cannot add them to your order. Please let me know if there s any other changes you would like added to your order. for the update. However, the chicken leg quarters were saved and shown in our cart for several days. This is not the first time this has occurred, and it was with the same item. Thanks. Hazel Hiza On Feb 5, 2025, at PM, CH wrote: - - - Reply above this line. CH commented: Hi Hazel, I unfortunately cannot provide insight as to exactly what happened when you were ordering. It is also important to remember that items in your cart do not hold and all carts will reset at midnight everyday if you do not check out. There is a chance that is what happened with item 300595. At this moment we do not have any more of this item in our inventory and I cannot add them to your order. Please let me know if there s any other changes you would like added to your order. [View request| [Turn off this request's notifications| This is shared with and Lucy Paredes. [ Sent on February 5, 2025 :33 PM EST ! Hello Hazel, We apologize for the inconvenience in ordering. Should this happen again with another item please let us know."
724,"qm: , I would like to change the delivery date for sale order SO187759 from 12/24/24 to 12/23/24, 12-2 pm. Thank you, Jeannette Mendy (646) 420-0787 The LindaBen Foundation ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" !IMG0942 (e8dc8e32-8d53-4bfe-9b92-041b366c0292).jpeg|thumbnail! !IMG0943 (58d567c7-4a4e-4832-9395-3719d2e43a5f).jpeg|thumbnail! Good morning, Thank you for contacting customer support. I have updated your billing option to invoice. You should be able to edit your order at your convenience now. I also rescheduled your order to 12/23/24 from 12pm-2pm."
725,"qm: Good morning Jeanette, I hope you re doing well today. I was very concerned to hear about the issues you ve encountered with mice droppings and the presence of mice near the food you received from us. Please know that I am genuinely sorry for this distressing experience, and I want to extend my heartfelt apologies on behalf of Capital Area Food Bank and our Customer Service and Operations Team. This morning, I forwarded the information you provided in your ticket, along with your photos, to our Director of Operations. She is taking this matter very seriously and has scheduled a meeting with her team to ensure we find a prompt and effective resolution. They will be focusing on maintaining cleanliness and ensuring rodent protection in our facilities, as well as inspecting our warehouse products, particularly those in question, to ensure they are removed if necessary. I want to support you through this situation. Could you please let me know which specific products you needed to be disposed of due to the potential rodent issue, aside from the bins of cereal? I understand how disruptive this can be to your food distribution efforts, and I truly empathize with the challenges it presents in providing safe and healthy food to the community you serve. I will also reach out to my supervisor to discuss possible compensation for the inconvenience caused by this situation, as we value your partnership and want to make things right. Thank you for your understanding, and once again, I m truly sorry for the trouble this has caused. We are committed to resolving this matter as quickly as possible. Best wishes, ""D"" ""D"", Thank you so much for your prompt response and for addressing this matter with great regard. We look forward to hearing back from your side the resolution made from your side so this situation can be avoided. When it comes to your questions around damages and pain points that we encounter to intervene quickly here are some of the damages it costs my operations: We disregard about 50 Rx Boxes that were packed and ready for distribution to our Food as Medicine Program (this is worth $25 each box) We halted our packing operations (2 days' worth) and had caused me loss of 500 Rx Boxes that should have been packed last week. Instead, we used the time to do a deep cleaning to ensure all our 800 Rx Boxes are safe. We also use two additional days of work to contain and capture the three mice and safely throw the 2 bins of assorted cereals out of our building premises (into a landfill). (Note: I personally set aside my own list of tasks to help my team do this work for two days and also recruit four people to assist us with this problem) I hope this helps you and your organization understand how this type of matters can cause a small organization like ours not only inconvenience/stress but lost of products/investment/productivity for some of our programs outside our Food Pantry operations. ---- I hope this message finds you well. I wanted to reach out personally to follow up on the recent incident and to express my sincere apologies for any disruption it may have caused you. I have escalated this matter to our Operations Director, and I want you to know that we have a new leader in Operations who is dedicated to ensuring we serve our partners with the utmost care and precision. She is committed to making improvements and has assured me that we are taking significant steps to prevent such situations from occurring in the future. Some of the measures we re implementing include: 1. Continuing our routine pest control efforts. 2. Collaborating with our pest control company, which visited our facility on Monday to conduct additional work beyond our normal mainte ce. 3. Strengthening our inspection processes to ensure that all pullers, drivers, and inspectors thoroughly check every order once it's staged. 4. Focusing on the quality of products going out to our partners. 5. Preparing for the warmer months ahead to maintain a rodent-free and clean environment for the food we deliver. I truly empathize with the impact this situation may have had on your operations, and I want to assure you that we are committed to providing a better service moving forward. Please know that we value your partnership and appreciate your understanding during this time. As a gesture of goodwill, we would like to waive the delivery fees for both your recent order and your upcoming order on March 3rd. If you have any questions or concerns, please don t hesitate to reach out. Your feedback is important to us, and we re here to help. Thank you for your understanding. Warm regards, ""D"" Thanks! ---- ,""content"":["
726,"qm: Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning, Your order date has been updated! Thank you, ""D"""
727,"Dear Partners, Thank you for submitting a ticket to Partner Support. Please note that we are currently out of the office in observance of the Thanksgiving Holiday, starting on November 27th at 3 PM. We will return to the office on Monday at 8 AM. We will respond to all tickets and phone calls upon our return. Thank you, and happy holidays! Customer Relations Good morning! I hope you are doing well. I have gone ahead and taken off the credit card off of your order so it is now invoiced and you can see the edit order button on PartnerLink. Thank you, ""D"" . I made a mistake on the last order. Please change the payment method for that sale order SO187556 from credit card to ""Invoice"". Thank you,]}, ---- From: Jeannette Mendy Sent: Tuesday, December 3, 2024 PM To: Partner Support Subject: Sale Order SO187556 Hello. I made a mistake on the last order. Please change the payment method for that sale order SO187556 from credit card to ""Invoice"". Thank you,]}, We went ahead edited the billing section. Please see if you can edit this now. ""D"" ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" , I m allowed to make edits. Thank you! Could you please do the same with SO186681? ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" Yes! You should be set now! ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"""
728,"qm: Good morning, Jeannette. I have gone ahead and invoiced this order so you can edit it. Let me know if you have any issues!"
729,"qm: Good afternoon, Thank you for reaching out. I checked with our Operations Team, and they confirmed that the item is in stock. There was a previous issue with placing it due to it being moved to a different location. Thank you, ""D"""
730,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. Unfortunately, this order is locked and has moved to fulfillment. We are unable to make any edits to your order once it locks 3 business days before your scheduled appointment. Good morning, Please forgive the the confusion as this was a duplicate request. We are looking into accommodating this request will follow up directly with Anna. Thank you,"
731,"Good afternoon, Thank you for contacting customer support. We have rescheduled your order to 1/3/25 from 10-12pm."
732,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank I meant to write SO169999 ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" Good morning, Thank you for contacting customer support. SO169999 has been cancelled."
733,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. SO169999 has been cancelled."
734,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. Your order has been cancelled."
735,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, I hope this message finds you well. Upon reviewing your order, I noticed that it is already locked due to the holiday closure on Monday. Your order has already been fulfilled, which means we are unable to make any further edits to it. Please place another order if you would like to secure any additional items. Best regards, ""D"" , I understand it is locked but can we at least make the change for the only frozen item 520388 in SO174321? At this time, I only need 7 cases. If it is not possible to change the amount, then please remove the item from the order. Thank you ----]}, Have a great weekend! ---- , DH Manager of Customer Relations & Distribution Network Evolution Capital Area Food Bank P. 571.390.9875 | F. 703.541.0179 4900 Puerto Rico Ave, NE Washington DC 20017 <[ <[ <[ <[ Please email all customer service questions or concerns to [ so that one of my colleagues or I can assist you promptly. Thank you! would prefer not to add the additional 33 cases to the next order. Even though I know our families would like to have chicken every week, I want to distribute our leftover stock of pork chops and fish. So, the 7 cases of chicken will be sufficient for now. Thank you! ---- , DH Manager of Customer Relations & Distribution Network Evolution Capital Area Food Bank P. 571.390.9875 | F. 703.541.0179 4900 Puerto Rico Ave, NE Washington DC 20017 <[ <[ <[ <[ Please email all customer service questions or concerns to [ so that one of my colleagues or I can assist you promptly. Thank you! morning, Please call Joe Williams, at CAFB, so he can instruct the driver to return the item 520388. I only need 7 cases. ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" I just spoke to Joe! He will be contacting the driver momentarily. ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"""
736,"Hi Augusta Fricke, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Hey Augusta! Yes I will respond to her now."
737,"Good afternoon, Thank you for reaching out to us. This update and the changes have been made. ""D"""
738,"Good morning, Thank you for contacting customer support. I have updated this partner s billing option in NetSuite. Feel free to try and make any changes again and let me know if it allows you to save."
739,"Good morning, Thank you for reaching out to Customer Relations, and Happy New Year! Yes, I have gone ahead and edited your order accordingly. Thank you, and have a great day! ""D"""
740,"Good afternoon, Thank you for reaching out to Customer Relations. I have made the requested change for you, but there were two discrepancies: # For the procue boxes, we only have 150 available, and 50 have been backordered. I have reached out to Lucy to confirm if we will be receiving more of these boxes before your order date. If we do not receive any more, your order will be limited to 150 cases only. # Regarding the apples, we currently have 14 cases available, but 1 case is backordered. I will inquire about both items with Lucy to see if there is anything we can do, and I will follow up with you soon. Best regards, ""D"" you so much! Enjoy your evening and stay safe. ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" Your order reflects 200 produce boxes and 15 cases of the apples! Have a great and blessed day! you so much! Enjoy your day as well. ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"""
741,"Good morning, Thank you for contacting customer support. We have accommodated this request."
742,"qm: Good morning, Thank you for contacting customer support. We have submitted a request for Transportation to pick up the damaged product you received and will confirm with you once that appointment has been scheduled. Good morning, Can you please estimate the amount of damaged product your received? How many cases in total, would be helpful. Also, can you please let me know if you would prefer a credit or a replacement of the damaged product? Please note we can only replace the product if we still have it in our inventory. s only one case, $24.50, and we would prefer a credit. Thank you, Jeannette ---- ,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" Good afternoon, I have processed Credit Memo 8234 with a total of $24.50 to your agency account. Thank you, , I had two deliveries after my request to return one item, 10/7/24 and 10/11/24. Each time the driver was not instructed to accept the item. My next delivery is scheduled for 10/21/24. Please let me know how to proceed. Should I discard of the item or wait for a delivery driver to pick it up? Thank you. Best, Jeannette Mendy ----,{""type"":""text"",""text"":""Outlook for iOS"",""marks"":[{""type"":""link"",""attrs"":{""href"":"""
743,"Good afternoon, Thank you for contacting customer service. The item above is assorted donated salvage, all in large bags (vs boxed or canned etc.). We are unsure of what exactly the items are, as they are donations from various donors that have been sorted into bags for partners. Please let me know if you need any more assistance. DH you"
744,"Good afternoon, According to our records, you have three orders for 4/12: SO110870, SO110902 and SO110914 Please watch the training when you do get a chance: Link & Password to PartnerLink 2.0 Training Can we combine these internally? Good morning, Our IT team is currently working on combining all of your orders. We will ensure this happens so that you get one delivery with all your items. Thank you, ""D"" you ""D"" I received a meaaage from Erin about the one order that I was attempting to update that turned into 4 orders. It looks like the IT department did not combine the orders. I want to ensure that we receive the items ordered Thank you in advance for your assistance in this matter Monica 240-308-2594 <>"
745,"Good afternoon, Your orders have been combined into two sales orders: SO110902 and SO110870. ""D"" ""D"" Please confirm that both orders will be delivered tomorrow and I don t see the paper products or hygiene products on either order when they got combined We re they still available? do I see lemons #824034 or 4 boxes of snacks #10081 I appreciate your help on this. Yes both orders will be delivered tomorrow, April 12th. The paper and hygiene products were taken off of multiple orders unfortunately due to an inventory error. Our apologies for the inconvenience. DH NOVA Customer Service Coordinator Capital Area Food Bank P. 571.390.9875 | F. 703.541.0179 9610 Gunston Cove Rd, Suite A Lorton, VA 22079 < < < Please email all customer service questions or concerns to so that one of my colleagues or I can assist you in a timely manner. Thank you! The lemons were taken off because they did not meet the quality standards this morning. There is one case of the assorted snacks on your order, the other boxes were not combined onto the order. The order is now locked so I cannot edit the order any further, I can attempt to add the snacks to a future order of yours but these two are now pending fulfillment. DH NOVA Customer Service Coordinator Capital Area Food Bank P. 571.390.9875 | F. 703.541.0179 9610 Gunston Cove Rd, Suite A Lorton, VA 22079 < < < Please email all customer service questions or concerns to so that one of my colleagues or I can assist you in a timely manner. Thank you! you ""D"" Have a good rest of the day! Thank you, Monica! I apologize for the confusion, thank you for your patience!"
746,"Good Morning! I m going to need a little more information. What is your order number? what is the date of your order? Kym, The order number is SO113677 for 4/27/2023 delivery I was trying to add the onions and this morning the system has been updated to include the availability by delivery date You can close the ticket Thanks Kym Enjoy your day! awesome! thank you for letting me know!"
747,"Hi Monica, I am very sorry to hear about all the delivery issues you all experienced today. For missing items, it depends on the reason that it is missing and the availability of drivers to bring the product. I would recommend reaching out to us immediately if product is missing and specify if you can accept the item later in the day if the product is available and able to be delivered. You can always call us at 202-644-9845 in addition to submitting a ticket. If I can offer any additional support, please don t hesitate to reach out. Best, RC you! Hi Monica, We are processing a return to reflect that you did not receive this item. Please let me know if I can offer any additional support. Best, RC"
748,"Good afternoon, Thank you for contacting customer service. Cantaloupe 6/20 Pineapple 6/22 Thank you, ""D"""
749,"Good morning Monica, I hope you are doing well. The pineapples in reference are being removed off the menu. Their expiration date was on 7/5 and were not supposed to be available for partners at all. This was technical issues. We apologize for the inconvenience. ""D"""
750,"Good afternoon, Thank you for contacting Customer Service. I have notified our Transportation Department and they are going to send a driver to your site tomorrow to pick up the pallets. ""D"" you"
751,"Good morning, Thank you for reaching out to Customer Service. The last date that this item can be placed on an order is the 31st of August. ""D"""
752,"Good afternoon, I confirmed with our Food Resourcing Team that this description was wrong. She has now updated that information and description which should be reflected on Partner Link soon. The turkeys are and coming from a local farm, not Safeway and the year 2020 does not apply to these turkeys. ""D"""
753,Good morning and thank you for contacting customer support. We appreciate your feedback and bringing awareness to this issue. You still have 3 business days prior to your pickup/delivery to update your order. For this order that would fall on Monday the 23rd CiArra
754,"Good morning Monica, I have submitted IT ticket for this issue. In the meantime, if you want to place an order for the day after. You can- and I will move it to the right date. We have 10-12 and 12-2 slots still left on the 20th. ""D"" We will take the Monday 10-12 slo Good morning Monica, I hope you are doing well. You should be able to place your order now. ""D"" ""D"" We just received an order with cereal that has bugs in it Should we throw it away or can the driver come back to get it? ""D"" We have not received the credit for the cereal and the invoice is overdue Can I pay the invoice and have the credit out on another invoice? The invoice in question is 132572 Credit due is for the bin of cereal with bugs that we threw away $41.42 was the amount Thanks Monica m sorry, The invoice number is 135042 and the credit was given Thanks again!"
755,"Good morning and thank you for contacting customer support. I ve contacted the transportation team and they have advised me that a driver will be able to take the pallets back on your next scheduled delivery, 1/4/2024 CiArra"
756,"Good afternoon, Thank you for contacting customer support. I have followed-up with your order and this item was removed from your order due to an inventory issue. We apologize for the inconvenience."
757,"My experience has been if it says single drinks, its usually an assortment of single serve bottles of juice or cans of soda. Usually not at big as 64 ounces."
758,"Good afternoon, The last day that the order can be added is October 7th. ""D"""
759,"Hi there, The expiration date is 12/13. Best, Ley seems like it was electronically taken out of my basket before I checked out for my Wednesday delivery."
760,"Hello, The expiration date listed is 12/29/21. Thanks, Lindsay"
761,"Good Evening\! Unfortunately, that item became unavailable by the time you checked out. We are currently working to update the system to eliminate this issue. Thank you for bringing this to our attention and we apologize for the inconvenience."
762,Good morning\! Unfortunately we are unable to combine orders.
763,Good Morning! I can not confirm that the order will arrive between 8a-10a on that day because our Transportation Team has not released the schedule for that day yet. I wont receive the schedule until the day before. I can confirm that you do have an order scheduled for the morning of 12/8. We will contact you the day before with your 2 hour delivery window. Kym. I was concerned because I did not see it on the calendar. I will reach out you next Wednesday if needed. Have a great weekend!
764,"Good afternoon! Thank you for your inquiry. I reached out to the warehouse and though we don't have the exact expiration date on the bin of chicken that you are expecting, food Services states that as long as the frozen item are frozen before the expiration date, it is still good to use and is why you received chicken that had already expired before. We freeze our meats well before the expiration date and keep them frozen to preserve the item. Additionally, all items also go through hefty quality checks before they are sent out to our partners. Please let me know if you have any questions. ""D"" you"
765,"Good morning Monica, SponGen is a term we use internally to signify that the item was purchased or sponsored by a grant, and that the item is available for the general population of partners which is all regions- DC/VA/MD. ""D"""
766,"Hi Monica, I have reached out to our Food Resourcing Department! I will circle back as soon as I have more information. Best, Riley Hi Monica, Please see image of bag dimensions below: !image-20230614-175552.png|width=819,height=614! Please let me know if you need any additional information. Best, Riley"
767,"Good morning Monica, Thank you for reaching out to customer service. I will reach out to the Food Resourcing team to see if we can get more information about these items. Thank you, ""D"" Good morning Monica, I hope you are doing well. I contacted our Food Resourcing Team, and they told me that they are unable to catalog the expiration dates for the chicken because of how much we get and the quantity of packs in each bin. They have reached out to our donors who supply our chicken to let them know about the outdated product. Generally, they are only able to give us product from the last calendar year and it should not be spoiled after being thawed out. We apologize for this inconvenience. ""D"" The chicken is frozen before its expiration date. Foods stored in the freezer remain safe almost indefinitely, and even if they are not stored as low as 0 F or below, they will still last much longer than the suggested times. The expiration date, or use-by date, on food helps to estimate the expected timeframe that the food will still be at its highest quality."
768,Good morning and thank you for contacting customer support. I have reached out to our IT team about your inquiry. I will follow up with you as soon as they provide me feedback CiArra Good morning You are able to place an order for the 28th now CiArra When I just logged on I am still getting the error It says available 12 Taken 11 for the :00 timeframe I have logged in and was able to start placing an order for the 28th. Please try again CiArra
769,"Hi Monica Cole, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. We were unable to add this item to your order and apologize for the inconvenience."
770,"Hi Monica Cole, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. Unfortunately, there is no more of that item available to order. you. Not sure why it is showing up online. you. Not sure why it is showing up online."
771,"Good morning, Thank you for contacting customer support. Please be aware that due to the introduction of produce limits in our system, partners will need to wait 30 minutes after placing an order before they can edit it. Please allow for the system to update with your current changes before you try to make any further edits. If the issue still persists, please let us know."
772,"Hi Monica Cole, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning and thank you for contacting customer support. I have added the potatoes as requested CiArra"
773,"Hi Monica Cole, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, I have added one of #362014 Eggs onto your order. Please let me know what quantity of this item you were wanting CiArra Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Eggs have been added to this order"
774,"Hi Monica Cole, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon and thank you for contacting customer support. Unfortunately, we no longer have any corn available to add to your order at this time. You do have until 7/30 to edit your order before it is sent for fulfillment. please check in with us again if you would like use to keep a look out for available produce to add to your order if/when they become available CiArra you! Yes, please add any produce thst might be available Our order doesn t close until next week Have a great evening Monica"
775,"Hi Monica Cole, s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning and thank you for contacting customer support. Partners are unable to close out/cancel orders themselves completely. Please don t hesitate to contact customer support if you need any other orders canceled in the future. I have canceled SO172799 as requested CiArra"
776,"Good morning, Thank you for contacting customer support. Unfortunately, both of the items you requested are sold out and no longer available. At this time we cannot accommodate your request."
777,"Good morning, Thank you for contacting customer support. I have contacted Transportation to schedule your pallet pick-up. I will follow-up shortly to confirm our soonest availability. Hello, We have scheduled a pallet pick-up for your agency tomorrow."
778,"Good morning, Thank you for contacting customer support. We are looking into this request and will get back to you shortly. Good morning, Unfortunately, your order is locked for orders and we cannot make any changes at this time. I do see that you have 1 of 700757 Produce Pallet - 3 WAY - Cabbage, Carrot, Sweet Potatoes on your order. If you receive this pallet and still would like more produce, please feel free to add available produce to your future orders should your Produce Limit allow."
779,Good afternoon and thank you for contacting customer support. Please contact for billing inquiries CiArra
780,"Hi Monica Cole, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon and thank you for contacting customer support. I have updated your order as requested CiArra"
781,Good afternoon and thank you for contacting customer support. I have updated your order as requested. I have added 4 of the sweet potatoes onto your upcoming order for 11/22 CiArra
782,Good afternoon and thank you for contacting customer support. I have updated your order as requested and have added 1 bin of the kale CiArra
783,"Good morning, Could you please provide me with the Sales order # and the quantity you wish to have for these items if they are available CiArra qm: On Wednesday, November 20, 2024 at :54 AM EST, CR wrote: SO185643 We would like 2 of the frozen meals if available Thank you - - - Reply above this line. CR commented: Good morning, Could you please provide me with the Sales order # and the quantity you wish to have for these items if they are available CiArra [View request| [Turn off this request's notifications| This is shared with Monica Cole. [ Sent on November 20, 2024 :51 AM EST ! Good morning, We only had one available of the 100799 so I added that onto your order CiArra you Was the hydration drink pallet available? #100830"
784,Good afternoon and thank you for contacting customer support. I was able to add 1 of each item onto your order. We only had one of each item available to add CiArra
785,"Good afternoon, Thank you for contacting customer support. I have added 15 cases to your order."
786,"Good morning, Thank you for reaching out to Customer Service. Your order was locked early because we will be closed from tomorrow until January 2nd. As a result, our Operations Team is pulling orders for the 2nd and the 3rd today. I have gone ahead and made an exception for you by updating your order as requested. Happy Holidays! Best, ""D"" you Happy Holidays"
787,"Good afternoon and thank you for contacting customer support. I have added 2 of the Apples, Local MD- 175 x 3# bags in BINS (LFPA) 1/525 lbs Bin onto your upcoming order CiArra you!"
